"1,00:00,00:00,00:00"
"2,00:00,00:00,00:00"
"3,10:00,20:15,1:00"
"4,10:00,20:00,1:00"
"5,10:00,20:15,1:00"
"6,10:00,20:00,1:00"
"7,10:00,19:30,1:00"
"8,00:00,00:00,00:00"
"9,00:00,00:00,00:00"
"10,10:00,21:30,1:00"
"11,10:00,21:00,1:00"
"12,10:00,21:30,1:00"
"13,10:00,20:00,1:00"
"14,00:00,00:00,00:00"
"15,00:00,00:00,00:00"
"16,00:00,00:00,00:00"
"17,10:00,20:00,1:00"
"18,10:00,20:00,1:00"
"19,00:00,00:00,00:00"
"20,10:00,20:30,1:00"
"21,9:00,20:00,1:00"
"22,00:00,00:00,00:00"
"23,00:00,00:00,00:00"
"24,10:00,21:30,1:00"
"25,10:00,20:30,1:00"
"26,10:00,21:00,1:00"
"27,10:00,20:30,1:00"
"28,10:00,19:15,1:00"
"29,00:00,00:00,00:00"
"30,00:00,00:00,00:00"
